category,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
0,1.48333746475,1.17664242407,-0.286633303131,0.458616905113,1.33050737672,1.45117607712,1.49875307609,-0.295102894872,1.1290128889,0.155875108082
0,1.33636551083,0.876195502199,0.0612005761195,0.0902484804739,1.4507978963,0.637490394623,0.679883620609,-0.471451780888,1.33624016647,-0.445019977684
0,0.806535027761,0.662134385815,0.342963079356,-0.0358508339714,1.39671338429,1.49535048463,1.46123583594,-0.030096618382,1.31779032175,-0.445480373863
0,0.65560787775,1.40814703513,0.417845553388,-0.127519904013,1.15320499205,0.634048587517,1.48865744832,0.0214550444455,0.593599111764,0.0668105845091
1,-0.221753002046,-0.180089489094,0.62375122442,1.32925618698,0.516196684062,-0.290900063871,0.553749157114,0.906619216616,0.24273133632,0.612879670956
1,-0.498979472667,-0.392793023256,1.45195444322,1.44379958221,1.11428347197,-0.443268111803,0.691033271176,0.526643788962,-0.406538977727,0.919021618804
1,0.414529867402,-0.198409904028,1.42712485492,1.37053174257,0.816733530696,-0.434929303013,1.01233149321,0.702233371556,-0.309829041752,0.547023631133
1,-0.498060188821,-0.0822008799925,1.33720621429,0.648767793975,1.38607176433,-0.498619757126,1.14902433976,1.43492107357,-0.0757971363013,1.44793873903
0,1,1,0,0,1,1,1,0,1,0
1,0,0,1,1,1,0,1,1,0,1
